CarolinaDog01_Reseq_7771	Non-breed
CarolinaDog03_31703	Non-breed
CarolinaDog04_31707	Non-breed
CatahoulaLeopardDog01_Reseq_33138	Non-breed
CatahoulaLeopardDog01_Reseqx2_33138	Non-breed
CatahoulaLeopardDog02_33137	Non-breed
CatahoulaLeopardDog03_33139	Non-breed
CatahoulaLeopardDog04_33152	Non-breed
CatahoulaLeopardDog05_33321	Non-breed
CatahoulaLeopardDog06_10791	Non-breed
CatahoulaLeopardDog07_10792	Non-breed
CatahoulaLeopardDog08_31598	Non-breed
CatahoulaLeopardDog09_33136	Non-breed
CatahoulaLeopardDog11	Non-breed
CaucasianOvcharka01	Herding
CaucasianOvcharka02_7997	Herding
CavalierKingCharlesSpaniel01	Spaniel
CavalierKingCharlesSpaniel02	Spaniel
CavalierKingCharlesSpaniel03_952	Spaniel
CavalierKingCharlesSpaniel04_15286	Spaniel
CeskyTerrier01_31125	Terrier
CeskyTerrier02_33431	Terrier
CeskyTerrier02_Reseq_33431	Terrier
CeskyTerrier03_33463	Terrier
CeskyTerrier04_31121	Terrier
ChesapeakeBayRetriever01	Retriever
ChesapeakeBayRetriever02_7292	Retriever
ChesapeakeBayRetriever03_12347	Retriever
ChesapeakeBayRetriever04	Retriever
Chihuahua01_13131	Terrier
Chihuahua03	Terrier
Chihuahua05	Terrier
Chihuahua06	Terrier
ChineseCrested01	Terrier
ChineseCrested05	Terrier
ChineseCrested06	Terrier
ChineseIndigenousDog01	Non-breed
ChineseIndigenousDog02	Non-breed
ChineseIndigenousDog03	Non-breed
ChineseIndigenousDog04	Non-breed
ChineseIndigenousDog05	Non-breed
ChineseIndigenousDog06	Non-breed
ChineseIndigenousDog07	Non-breed
ChineseIndigenousDog08	Non-breed
ChineseIndigenousDog09	Non-breed
ChineseIndigenousDog10	Non-breed
ChineseIndigenousDog11	Non-breed
ChineseIndigenousDog12	Non-breed
ChineseIndigenousDog13	Non-breed
ChineseIndigenousDog14	Non-breed
ChineseIndigenousDog15	Non-breed
ChineseSharpei01	Spitz
ChineseSharpei02	Spitz
ChineseSharpei03_11443	Spitz
ChineseSharpei04_11447	Spitz
ChineseSharpei05_11448	Spitz
Chinook01	Herding
Chinook02_33140	Herding
Chinook03_33141	Herding
Chinook04_33143	Herding
Chinook05_33256	Herding
Chinook06_33257	Herding
Chinook07_33317	Herding
Chinook08_33360	Herding
Chinook09_33362	Herding
Chinook10_33386	Herding
ChongqingDog01	Mastiff
ChowChow01_15630	Spitz
ChowChow02_13802	Spitz
ChowChow03	Spitz
ChowChow04	Spitz
ChowChow05_29846	Spitz
ChowChow06_30105	Spitz
ChowChow07_30210	Spitz
CirnecodellEtna01_26441	Herding
CirnecodellEtna02_31283	Herding
CirnecodellEtna03_31284	Herding
ClumberSpaniel01	Spaniel
ClumberSpaniel02_27422	Spaniel
ClumberSpaniel03_33091	Spaniel
ClumberSpaniel04_33092	Spaniel
CockerSpanielAmerican01_11414	Spaniel
CockerSpanielAmerican02	Spaniel
CockerSpanielAmerican03	Spaniel
CockerSpanielAmerican04	Spaniel
CockerSpanielAmerican05	Spaniel
CockerSpanielAmerican06	Spaniel
CockerSpanielAmerican07_12451	Spaniel
CockerSpanielAmerican08_12452	Spaniel
CockerSpanielAmerican09_12453	Spaniel
CockerSpanielEnglish01	Spaniel
CockerSpanielEnglish02	Spaniel
CockerSpanielEnglish03	Spaniel
CockerSpanielEnglish04	Spaniel
CockerSpanielEnglish05	Spaniel
CockerSpanielEnglish06	Spaniel
CockerSpanielEnglish07_12021	Spaniel
CockerSpanielEnglish08_13589	Spaniel
