Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
JK2175	R3	245	0.041	0.041	1.23	W
JK2175	R4	300	0	0	1.23	W
JK2175	R5	230	0	0	1.23	W
JK2179	R1	80	3.512	0.963	2.96	W
JK2179	R2	205	0.522	0.429	2.96	W
JK2179	R3	245	0.286	0.278	2.96	W
JK2179	R4	300	0.903	0.493	2.96	W
JK2179	R5	230	0.057	0.057	2.96	W
JK2181	R1	80	1.188	0.875	0.64	W
JK2181	R2	205	0	0	0.64	W
JK2181	R3	245	0.412	0.404	0.64	W
JK2181	R4	300	0.173	0.173	0.64	W
JK2181	R5	230	0	0	0.64	W
JK2183	R1	80	6.525	1	7.26	W
JK2183	R2	205	0.454	0.137	7.26	W
JK2183	R3	245	0.396	0.212	7.26	W
JK2183	R4	300	0.4	0.163	7.26	W
JK2183	R5	230	0.143	0.096	7.26	W
LOW002	R1	80	3.188	0.912	6	W
LOW002	R2	205	9.512	1	6	W
LOW002	R3	245	4.935	0.967	6	W
LOW002	R4	300	2.833	0.803	6	W
LOW002	R5	230	5.691	0.778	6	W
LOW003	R1	80	6.162	1	6.4	W
LOW003	R2	205	9.21	1	6.4	W
LOW003	R3	245	9.127	0.939	6.4	W
LOW003	R4	300	6.283	1	6.4	W
LOW003	R5	230	11.448	0.83	6.4	W
LOW006	R1	80	1.55	0.95	3.6	W
LOW006	R2	205	11.585	0.927	3.6	W
LOW006	R3	245	8.184	0.873	3.6	W
LOW006	R4	300	5.187	1	3.6	W
LOW006	R5	230	12.57	0.983	3.6	W
LOW007	R1	80	1.175	0.9	2.3	W
LOW007	R2	205	8.62	0.941	2.3	W
LOW007	R3	245	3.502	0.853	2.3	W
LOW007	R4	300	3.91	0.943	2.3	W
LOW007	R5	230	4.257	0.904	2.3	W
LOW008	R1	80	0	0	1	W
LOW008	R2	205	3.093	0.785	1	W
LOW008	R3	245	1.347	0.661	1	W
LOW008	R4	300	1.753	0.627	1	W
LOW008	R5	230	4.139	0.952	1	W
MCZ_25374	R1	80	0	0	3.2	W
MCZ_25374	R2	205	8.527	1	3.2	W
MCZ_25374	R3	245	8.143	0.849	3.2	W
MCZ_25374	R4	300	4.04	0.813	3.2	W
MCZ_25374	R5	230	11.217	0.978	3.2	W
MCZ_BOM_11183	R1	80	15.175	0.963	25	W
MCZ_BOM_11183	R2	205	102.98	1	25	W
MCZ_BOM_11183	R3	245	97.571	1	25	W
MCZ_BOM_11183	R4	300	57.23	1	25	W
MCZ_BOM_11183	R5	230	63.139	1	25	W
Portauchoix	R1	80	12.7	0.85	11.7	D
Portauchoix	R2	205	5.078	1	11.7	D
Portauchoix	R3	245	8.171	1	11.7	D
Portauchoix	R4	300	4.417	0.75	11.7	D
Portauchoix	R5	230	5.248	1	11.7	D
montana_wolf	R1	80	37.113	0.95	28.5	W
montana_wolf	R2	205	12.673	1	28.5	W
montana_wolf	R3	245	8.755	1	28.5	W
montana_wolf	R4	300	8.163	0.83	28.5	W
montana_wolf	R5	230	6.183	1	28.5	W
NGDG	R1	80	25.575	0.975	28	D
NGDG	R2	205	23.312	1	28	D
NGDG	R3	245	20.551	1	28	D
NGDG	R4	300	14.733	0.987	28	D
NGDG	R5	230	19.743	1	28	D
NMNH_137125	R1	80	3.413	0.95	7.7	W
NMNH_137125	R2	205	44.937	1	7.7	W
NMNH_137125	R3	245	54.086	1	7.7	W
NMNH_137125	R4	300	26.813	0.813	7.7	W
NMNH_137125	R5	230	45.243	0.926	7.7	W
NMNH_223936	R1	80	1.9	0.95	12.6	W
NMNH_223936	R2	205	100.112	1	12.6	W
NMNH_223936	R3	245	98.171	1	12.6	W
NMNH_223936	R4	300	35.47	0.857	12.6	W
NMNH_223936	R5	230	72.261	0.996	12.6	W
NMNH_224185	R1	80	6.55	0.95	12.1	W
NMNH_224185	R2	205	46.093	1	12.1	W
NMNH_224185	R3	245	46.192	1	12.1	W
NMNH_224185	R4	300	22.347	0.957	12.1	W
NMNH_224185	R5	230	37.583	1	12.1	W
NMNH_234427	R1	80	1.662	0.9	3	W
NMNH_234427	R2	205	9.249	1	3	W
NMNH_234427	R3	245	7.898	1	3	W
NMNH_234427	R4	300	5.07	0.81	3	W
NMNH_234427	R5	230	9.213	0.961	3	W
NMNH_264482	R1	80	3.125	0.95	3.1	W
NMNH_264482	R2	205	6.79	1	3.1	W
NMNH_264482	R3	245	8.845	0.886	3.1	W
NMNH_264482	R4	300	4.503	0.813	3.1	W
NMNH_264482	R5	230	6.93	0.809	3.1	W
NMNH_52057	R1	80	2.05	0.838	3.5	W
NMNH_52057	R2	205	6.249	0.907	3.5	W
NMNH_52057	R3	245	6.816	0.829	3.5	W
NMNH_52057	R4	300	2.29	0.623	3.5	W
NMNH_52057	R5	230	4.678	0.8	3.5	W
NMNH_64968	R1	80	0	0	2.5	W
NMNH_64968	R2	205	7.38	1	2.5	W
NMNH_64968	R3	245	6.408	0.833	2.5	W
NMNH_64968	R4	300	2.96	0.663	2.5	W
NMNH_64968	R5	230	8.33	0.874	2.5	W
NMW_005	R1	80	0.6	0.6	1.04	W
